開獎日期,期別,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,特別號
2026-03-31,115000040,5,11,25,40,45,47,39
2026-03-27,115000039,4,8,23,26,29,36,38
2026-03-24,115000038,14,33,41,42,44,48,47
2026-03-20,115000037,11,15,33,38,41,43,21
2026-03-17,115000036,2,6,10,22,40,45,17
2026-03-13,115000035,5,12,13,38,47,48,3
2026-03-10,115000034,5,11,29,37,43,47,10
2026-03-06,115000033,9,11,12,14,23,25,42
2026-03-03,115000032,5,26,27,35,45,46,37
2026-03-02,115000031,19,25,27,28,33,39,37
2026-03-01,115000030,4,7,34,40,44,49,37
2026-02-28,115000029,17,23,30,37,39,49,43
2026-02-27,115000028,14,18,19,34,45,47,48
2026-02-26,115000027,1,16,22,24,47,48,7
2026-02-25,115000026,7,15,22,38,45,49,31
2026-02-24,115000025,12,19,22,27,28,31,45
2026-02-23,115000024,6,10,23,27,47,48,30
2026-02-22,115000023,5,7,17,22,24,47,20
2026-02-21,115000022,12,13,17,27,41,48,46
2026-02-20,115000021,13,15,18,24,33,49,10
2026-02-19,115000020,20,28,29,31,35,41,6
2026-02-18,115000019,16,35,36,37,39,49,45
2026-02-17,115000018,6,12,24,26,37,46,36
2026-02-16,115000017,11,16,18,27,38,46,43
2026-02-15,115000016,3,6,11,18,25,28,35
2026-02-14,115000015,1,11,22,35,36,40,28
2026-02-13,115000014,9,20,25,35,39,48,47
2026-02-12,115000013,1,3,8,15,20,48,46
2026-02-10,115000012,6,16,20,21,24,35,13
2026-02-06,115000011,4,12,24,25,39,48,9
2026-02-03,115000010,6,14,32,33,39,43,13
2026-01-30,115000009,9,13,27,31,32,39,19
2026-01-27,115000008,4,11,24,25,29,30,8
2026-01-23,115000007,21,23,32,36,39,43,12
2026-01-20,115000006,2,7,26,41,44,45,46
2026-01-16,115000005,9,10,21,22,25,36,20
2026-01-13,115000004,2,10,18,19,39,49,24
2026-01-09,115000003,1,7,13,14,34,45,8
2026-01-06,115000002,2,23,33,38,39,45,6
2026-01-02,115000001,3,7,16,19,40,42,12
2025-12-30,114000118,5,10,15,20,24,29,34
2025-12-26,114000117,5,7,9,14,17,30,47
2025-12-23,114000116,1,3,12,33,39,41,29
2025-12-19,114000115,6,8,11,12,18,46,37
2025-12-16,114000114,6,7,15,19,24,33,46
2025-12-12,114000113,15,17,24,26,40,47,33
2025-12-09,114000112,5,10,18,26,28,44,48
2025-12-05,114000111,8,15,23,24,41,47,2
2025-12-02,114000110,14,20,32,35,42,48,28
2025-11-28,114000109,8,12,18,28,37,46,34
2025-11-25,114000108,2,10,12,20,23,24,28
2025-11-21,114000107,14,20,21,28,31,46,37
2025-11-18,114000106,8,9,10,23,24,43,45
2025-11-14,114000105,21,25,26,38,41,46,4
2025-11-11,114000104,11,16,24,42,44,47,32
2025-11-07,114000103,4,11,22,32,33,41,43
2025-11-04,114000102,16,25,27,35,47,48,14
2025-10-31,114000101,3,4,7,10,18,21,15
2025-10-28,114000100,5,8,11,12,18,39,37
2025-10-24,114000099,13,22,23,33,39,40,31
2025-10-21,114000098,14,20,25,42,44,49,12
2025-10-17,114000097,3,15,16,31,32,45,42
2025-10-14,114000096,11,16,20,31,39,41,6
2025-10-10,114000095,13,16,18,22,39,42,30
2025-10-07,114000094,2,9,16,34,42,43,33
2025-10-03,114000093,4,18,36,40,41,43,29
2025-09-30,114000092,19,20,22,32,36,42,35
2025-09-26,114000091,1,2,25,29,41,49,35
2025-09-23,114000090,5,14,22,25,27,45,3
2025-09-19,114000089,14,17,26,36,38,41,8
2025-09-16,114000088,7,17,18,22,25,47,38
2025-09-12,114000087,2,3,4,11,15,41,26
2025-09-09,114000086,12,20,25,26,40,45,34
2025-09-05,114000085,10,13,14,17,19,29,40
2025-09-02,114000084,2,6,9,19,20,30,25
